statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,3,0,0,0,0,1,8,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,2,0,0,20,0,0,6,0,0,0,0,0,0,0,37,40,0,0,0,0,0,0,0,0,0,0,20,0,31,29,0,1,0,0,0,3,2,23,2,0,0,21,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,95,0,0,6,9,6,2,2,0,0,0,102,106,0,4,0,0,0,0,0,1,0,18,58,1,14,0,0,14,0,0,0,0,64,150,55,0,0,92,12,11,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,3,0,0,88,0,0,22,0,0,0,0,0,0,0,103,136,0,1,0,0,0,0,0,0,0,4,53,0,51,33,3,18,2,0,0,0,50,132,50,0,0,89,14,14,58,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,4,0,0,75,0,0,3,5,3,2,2,1,0,0,115,155,0,6,0,0,0,0,0,3,0,12,39,0,25,22,0,7,1,0,0,0,92,189,88,0,7,80,23,23,52,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,2,0,0,65,0,0,3,3,3,4,4,0,0,0,104,111,0,4,0,0,0,0,0,3,0,5,39,1,40,9,0,33,12,0,0,0,57,124,54,0,10,80,5,5,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,14,0,0,2,2,2,0,0,0,0,0,16,22,0,0,0,0,0,0,0,0,3,1,7,0,1,2,0,0,0,0,0,0,19,33,19,0,0,11,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,3,0,0,74,0,0,23,0,0,0,0,0,0,0,131,145,0,0,0,0,0,0,0,0,0,0,71,0,110,99,0,4,0,0,0,10,5,81,5,0,0,76,1,1,68,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,4,0,0,24,0,0,1,0,0,0,0,0,0,0,35,38,0,2,0,0,0,0,0,3,0,4,9,1,14,11,2,5,0,0,0,0,24,42,23,0,4,21,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,100,10,0,0,0,0,0,0,0,2,1,88,0,0,3,0,3,0,0,0,0,0,2,232,0,0,0,89,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,6,0,0,73,0,0,30,2,2,0,0,0,0,0,89,121,0,0,0,0,0,0,0,0,0,0,61,0,43,21,6,18,2,4,0,0,37,136,37,0,0,94,15,13,60,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,6,0,0,109,0,0,3,2,2,1,1,4,0,0,191,242,0,8,0,0,0,0,0,3,0,4,52,1,90,50,16,29,4,1,0,0,105,214,103,0,9,103,20,20,67,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,3,0,6,3,0,2,2,0,0,0,0,0,0,24,22,17,0,11,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,3,0,0,38,0,0,16,0,0,0,0,0,0,0,57,127,0,1,0,0,0,0,0,0,0,0,53,0,27,17,0,13,0,0,0,0,58,151,56,0,0,85,19,12,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,3,0,0,74,0,0,24,0,0,0,0,0,0,0,89,116,0,0,0,0,0,0,0,1,0,0,49,0,38,24,1,16,0,0,0,0,44,119,40,0,2,79,14,14,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,3,0,0,5,1,7,5,0,3,1,0,0,0,12,23,10,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,1,4,1,3,4,0,0,0,0,0,0,2,11,1,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,8,0,0,80,0,0,0,0,0,1,1,0,0,0,133,138,0,1,0,0,0,1,0,4,1,19,24,2,28,26,6,4,3,0,0,0,104,157,96,0,16,59,17,15,29,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,34,0,0,2,4,2,2,2,0,0,0,57,62,0,1,0,0,0,0,0,3,0,6,9,0,12,6,2,5,3,0,0,0,40,73,38,0,1,25,5,3,11,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,0,0,1,8,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,2,0,0,19,0,0,7,0,0,0,0,0,0,0,28,32,0,0,0,0,0,0,0,0,0,0,19,0,23,20,0,1,0,0,0,4,2,22,2,0,0,20,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,2,0,0,46,0,0,2,2,2,3,3,1,0,0,90,110,0,1,0,0,1,0,0,2,1,7,13,0,25,11,11,0,3,4,0,1,77,107,68,0,0,30,13,9,20,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,2,0,0,60,0,0,16,10,8,5,5,1,0,0,77,108,0,0,0,0,0,0,0,0,0,1,55,0,24,12,0,14,3,0,0,0,69,119,63,0,10,77,7,6,43,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,3,0,0,8,1,9,3,0,7,0,0,0,0,5,25,5,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,3,0,0,26,0,0,2,1,1,0,0,0,0,0,39,46,0,1,0,0,0,0,0,3,0,2,9,1,7,4,5,1,1,0,0,0,32,49,31,0,5,15,3,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,16,19,0,0,0,0,0,0,0,2,0,2,2,0,1,2,0,1,0,0,0,0,17,23,15,0,3,6,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,3,0,0,145,0,0,9,11,8,5,5,3,0,0,299,357,0,13,0,0,0,0,0,3,0,6,67,1,126,43,10,73,18,1,2,0,205,365,186,0,0,177,34,32,80,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2,0,0,16,0,0,4,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,15,0,13,13,0,1,0,0,0,1,7,24,7,0,0,17,1,1,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,2,0,0,12,0,0,0,0,0,0,0,1,0,0,15,15,0,0,0,0,0,0,0,1,2,2,5,0,2,3,0,0,0,1,0,0,6,21,6,0,0,9,2,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,4,0,0,78,0,0,23,5,5,0,0,0,0,0,154,262,0,1,0,0,0,0,0,0,0,1,60,0,55,20,27,12,1,0,0,0,133,208,131,0,0,98,25,23,66,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,4,6,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,2,0,0,366,0,0,53,0,0,0,0,0,0,0,369,483,0,1,0,0,0,0,0,0,0,2,315,0,157,138,0,19,10,2,0,0,167,497,166,0,0,361,25,21,273,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,39,36,0,0,0,0,0,0,0,2,1,1,6,0,35,15,0,20,0,0,0,0,2,32,1,0,0,27,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,3,0,0,51,0,0,1,1,1,1,1,0,0,0,88,99,0,2,0,0,0,1,0,4,0,6,19,1,30,21,6,2,2,4,0,0,63,96,56,0,4,35,9,9,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,2,0,0,83,0,0,5,6,4,0,0,0,0,0,120,153,0,5,2,0,0,0,0,3,0,4,41,1,50,28,5,19,2,0,0,0,91,149,89,0,16,77,13,12,42,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,5,0,0,58,0,0,1,1,1,0,0,0,0,0,76,117,0,8,0,0,0,0,0,1,1,6,19,0,17,11,3,8,2,0,0,0,93,127,85,0,12,47,14,12,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,28,0,0,2,3,2,0,0,0,0,0,38,39,0,0,1,0,0,0,0,2,2,6,11,0,4,5,0,0,1,0,0,0,27,56,24,0,0,22,5,5,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,61,0,0,22,0,0,0,0,0,0,0,98,146,0,0,0,0,0,0,0,0,0,0,66,0,46,31,1,14,1,0,0,0,42,153,39,0,0,114,34,33,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,7,0,0,2,2,2,0,0,0,0,0,11,14,0,1,0,0,0,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,11,15,11,0,0,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,2,0,0,72,0,0,22,0,0,0,0,0,0,0,151,205,0,0,0,0,0,0,0,1,0,1,59,0,90,51,0,41,3,0,0,0,64,179,64,0,19,130,29,28,82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,1,0,0,68,0,0,10,0,0,0,0,0,0,0,94,168,0,0,0,0,0,0,0,0,0,0,68,0,48,26,0,21,1,2,0,0,69,157,69,0,40,123,34,33,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,12,0,0,4,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,0,0,7,0,8,5,0,4,0,0,0,0,10,22,10,0,1,12,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,3,0,1,2,0,3,4,1,0,0,0,0,0,5,16,5,0,0,6,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,3,0,0,10,0,0,1,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,3,0,1,6,1,8,7,0,4,0,0,0,0,1,17,1,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,2,0,0,130,0,0,37,0,0,0,0,0,0,0,174,246,0,0,0,0,0,0,0,0,0,0,113,0,78,33,4,43,2,0,0,0,59,260,52,0,0,209,53,50,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,2,0,0,94,0,0,17,0,0,0,0,0,0,0,161,243,0,0,0,0,0,0,0,3,4,0,122,1,101,46,0,57,22,0,0,0,73,266,73,0,0,185,6,6,117,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,42,0,0,7,4,4,1,1,0,0,0,63,82,0,0,1,0,0,1,0,4,0,6,23,1,28,21,0,8,3,0,0,0,44,87,44,0,0,38,4,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,3,0,1,6,1,21,12,0,10,0,0,0,0,10,32,10,0,0,18,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,3,0,0,23,0,0,2,1,1,0,0,0,0,0,33,38,0,2,0,0,0,0,0,3,0,1,13,1,15,10,2,6,2,0,0,0,18,40,18,0,4,22,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,3,0,0,0,0,0,5,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
