statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
4,0,0,7,0,0,10,0,0,2,2,2,0,0,0,0,0,20,38,0,1,0,0,0,0,0,0,0,0,8,0,7,12,0,2,2,0,0,0,26,41,24,0,0,13,3,3,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,0,0,26,0,0,10,0,0,0,0,0,0,0,34,52,0,0,0,0,0,0,0,0,0,0,27,0,19,7,2,11,4,0,0,0,16,54,16,0,0,38,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,77,0,0,9,3,3,1,1,0,0,0,91,106,0,0,0,0,0,0,0,9,0,8,32,0,42,9,5,28,1,0,0,0,60,149,59,0,6,72,4,4,28,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,132,0,0,13,5,5,1,1,0,0,0,179,213,0,1,0,0,0,0,0,14,2,5,64,0,106,9,22,75,5,0,0,0,106,285,103,0,0,148,4,4,56,2,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,68,0,0,9,3,3,1,1,0,0,0,74,88,0,0,0,0,0,0,0,9,0,1,31,9,42,9,5,28,1,0,0,0,41,136,41,0,0,61,1,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,0,0,1,0,0,147,0,0,35,19,15,0,0,0,0,0,414,576,0,0,0,0,0,0,0,0,0,3,87,0,156,42,29,86,16,0,0,0,318,558,310,0,0,241,65,50,111,19,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,1,4,1,2,1,2,3,0,1,1,0,0,0,8,21,7,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,1,0,0,64,0,0,13,2,2,0,0,0,0,0,117,189,0,0,0,0,0,0,0,0,0,0,67,0,67,17,12,39,16,0,0,0,78,202,78,0,0,122,16,14,76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
6,0,0,1,0,0,9,0,0,3,0,0,0,0,0,0,0,19,31,0,0,0,0,0,0,0,0,0,0,12,0,12,5,2,6,3,0,0,0,8,27,8,0,0,19,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,0,0,36,0,0,9,2,2,0,0,0,0,0,54,84,0,0,0,0,0,0,0,0,0,0,28,0,17,7,4,7,4,0,0,0,47,85,44,0,3,45,10,10,35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,3,0,0,36,0,0,7,0,0,1,1,0,0,0,39,52,0,0,0,0,0,0,0,2,0,0,28,2,19,9,3,8,0,0,0,2,23,54,21,0,10,37,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
