statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
15,0,0,1,0,0,20,0,0,9,0,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,0,0,20,0,9,6,1,3,0,0,0,0,12,35,11,0,0,24,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,47,0,0,10,0,0,0,0,0,0,0,77,113,0,0,0,0,0,0,0,0,0,0,63,0,32,13,15,5,3,0,0,0,56,126,50,0,0,76,8,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,0,0,30,0,0,5,3,3,1,1,0,0,0,31,48,0,0,0,0,0,0,0,0,1,1,13,0,9,6,0,5,0,0,0,0,43,54,41,10,0,22,3,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,0,0,73,0,0,4,6,4,4,4,0,0,0,85,100,0,1,1,0,0,0,0,1,2,15,36,1,13,11,0,3,4,0,0,0,69,127,65,0,5,60,10,9,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,1,0,0,59,0,0,11,0,0,0,0,0,0,0,79,146,0,0,0,0,0,0,0,0,0,0,81,0,25,24,2,0,4,0,0,0,93,175,84,0,0,90,9,9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,33,0,0,2,2,2,1,1,0,0,0,58,68,0,2,0,0,1,0,0,1,1,4,15,0,17,2,8,8,7,0,0,0,40,67,39,0,2,28,3,2,12,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,0,0,64,0,0,15,0,0,0,0,0,0,0,101,148,0,0,0,0,0,0,0,0,0,0,90,0,53,10,23,21,17,0,0,0,45,161,41,0,0,120,9,7,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,25,0,0,0,0,0,2,2,0,0,0,27,27,0,1,0,1,0,0,0,0,1,3,16,0,4,5,0,0,1,0,0,0,16,40,15,0,0,21,3,3,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,15,0,0,7,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,12,0,6,6,0,1,0,0,0,0,2,15,2,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,24,29,0,3,0,0,0,0,0,0,0,0,10,0,7,6,2,0,0,0,0,0,18,27,17,0,0,13,3,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,1,0,0,42,0,0,15,0,0,0,0,0,0,0,56,81,0,0,0,0,0,0,0,0,0,0,45,0,22,13,5,5,3,0,0,0,35,81,31,0,1,55,5,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,16,0,0,3,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,10,0,5,4,1,1,0,0,0,0,11,20,10,0,2,12,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
