statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
6,0,0,0,0,0,13,0,0,0,0,0,1,1,2,0,0,20,33,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,29,35,25,0,0,11,5,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,1,1,6,0,3,2,0,1,0,0,0,0,6,15,6,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,1,0,4,5,0,7,2,0,5,1,0,0,0,9,28,9,0,0,16,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,21,0,0,6,0,0,0,0,0,0,0,48,57,0,0,0,0,0,0,0,0,0,0,22,0,16,6,0,11,0,0,0,0,30,67,27,0,0,40,7,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1,0,0,53,0,0,18,1,1,0,0,0,0,0,99,130,0,0,0,0,0,0,0,0,0,0,49,0,46,25,2,20,0,0,0,0,50,128,47,0,0,86,17,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,1,0,1,1,1,3,1,1,1,0,0,0,0,3,8,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,33,0,0,7,0,0,0,0,0,0,0,70,86,0,0,0,0,0,0,0,0,0,0,32,0,25,7,0,19,0,0,0,0,51,108,46,0,0,62,11,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,1,0,0,136,0,0,26,0,0,0,0,0,0,0,224,330,0,0,0,0,0,0,0,0,0,0,135,0,101,68,5,24,0,0,0,5,155,348,150,0,0,203,44,44,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,10,0,0,1,0,0,1,1,0,0,0,12,15,0,0,0,0,0,0,0,1,0,2,7,0,5,1,2,2,0,0,0,0,7,20,7,0,0,12,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
