statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,0,0,0,0,6,10,6,0,0,4,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,28,0,0,16,0,0,0,0,0,0,0,72,101,0,0,0,0,0,0,0,0,0,0,20,0,26,10,13,3,0,0,0,0,52,71,48,0,23,46,23,19,39,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,1,0,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,9,14,9,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,2,0,0,0,0,0,8,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,13,0,0,5,0,0,1,1,0,0,0,20,33,0,0,0,0,0,0,0,0,0,0,11,0,13,12,0,2,0,0,0,0,18,29,18,0,5,17,4,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,67,0,0,20,4,4,1,1,0,0,0,148,206,0,0,0,0,0,0,0,0,0,0,37,0,95,19,66,8,15,0,0,2,92,135,91,0,22,55,12,12,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,4,0,0,74,0,0,16,27,16,1,1,2,0,0,137,176,0,1,1,0,0,0,0,1,0,8,25,0,69,51,0,21,3,0,0,1,111,182,107,0,0,72,19,17,34,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,5,0,8,5,0,3,0,0,0,0,8,18,8,0,0,10,3,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,32,0,0,8,0,0,0,0,0,0,0,38,64,0,0,0,0,0,0,0,0,0,0,24,0,26,9,17,0,0,0,0,0,13,39,13,0,0,39,15,2,26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
