statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
6,0,0,2,0,0,54,0,0,1,0,0,14,14,0,0,0,91,134,0,1,0,0,0,0,0,0,2,1,48,0,51,18,0,35,1,0,0,0,66,155,64,0,0,86,2,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,1,0,0,57,0,0,19,0,0,0,0,1,0,0,68,67,0,0,0,0,0,0,0,1,0,1,43,1,39,29,0,11,0,0,0,0,10,73,10,0,0,63,8,3,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,0,0,67,0,0,24,0,0,0,0,1,0,0,82,81,0,0,0,0,0,0,0,1,0,1,51,1,46,34,0,13,0,0,0,0,14,86,13,0,0,74,9,3,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,38,0,0,12,0,0,0,0,0,0,0,92,117,0,0,0,0,0,0,0,0,0,0,46,0,58,55,0,3,8,0,0,0,15,80,14,0,0,66,17,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,4,0,0,1,1,1,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,1,0,0,0,0,7,11,7,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,103,0,0,6,0,0,2,2,0,0,0,441,443,0,0,0,0,0,0,0,1,0,3,94,1,373,358,0,15,7,0,0,0,37,159,23,0,0,120,8,6,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,0,0,1,0,0,48,0,0,16,0,0,0,0,1,0,0,62,61,0,0,0,0,0,0,0,1,0,1,39,1,32,27,0,6,0,0,0,0,13,67,13,0,0,54,8,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,2,0,0,26,0,0,2,1,1,1,1,0,0,0,38,40,0,1,0,0,0,0,0,1,2,5,17,1,8,3,0,7,3,0,0,0,20,60,20,0,0,31,3,3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,1,1,0,0,35,0,0,0,0,0,5,5,0,0,0,52,59,0,1,0,0,0,0,0,1,2,4,17,1,9,4,1,4,4,1,0,0,38,71,34,0,0,32,8,7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2,0,0,43,0,0,5,6,5,2,2,0,0,0,76,92,0,1,0,0,0,0,0,1,2,8,16,1,18,10,3,6,4,0,0,1,73,118,73,0,2,39,11,10,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,35,0,0,14,5,4,0,0,0,0,0,71,96,0,1,0,0,0,0,0,0,0,0,28,0,43,36,6,1,5,0,0,0,27,63,27,0,2,39,10,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,1,0,0,730,0,0,240,41,29,8,8,0,0,0,950,1250,0,1,0,0,0,0,0,0,0,2,669,0,568,478,6,85,51,0,0,0,392,1219,352,0,5,908,155,150,687,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0,0,0,0,0,18,0,0,1,0,0,1,1,0,0,0,31,47,0,2,1,0,0,0,0,0,0,1,9,0,7,4,0,3,1,0,0,0,34,47,32,0,1,17,4,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,0,1,4,0,0,53,0,0,1,0,0,2,2,2,0,0,95,100,0,0,2,0,0,0,0,1,2,11,26,1,33,9,0,28,1,0,0,0,57,133,53,0,6,73,10,9,32,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
15,0,0,2,0,0,25,0,0,12,0,0,0,0,0,0,0,25,34,0,0,0,0,0,0,0,0,0,0,21,0,15,14,0,3,0,0,0,0,17,40,17,0,5,28,4,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,44,0,0,8,0,0,0,0,0,0,0,123,132,0,0,0,0,0,0,0,0,0,0,44,0,78,60,0,18,2,0,0,0,29,93,29,0,0,64,2,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,19,0,0,0,0,0,3,3,0,0,0,19,24,0,0,0,0,0,0,0,1,2,1,9,1,8,7,0,1,0,1,0,0,13,17,9,0,0,9,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,3,0,0,141,0,0,14,13,10,13,13,0,0,0,221,242,0,1,0,0,0,0,0,0,6,27,59,0,33,6,1,25,5,4,0,0,198,332,182,0,21,132,27,22,62,15,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5
16,0,0,2,0,0,29,0,0,9,5,5,1,1,0,0,0,52,68,0,1,0,0,0,0,0,2,1,0,15,1,20,14,0,8,0,0,0,0,37,67,35,3,0,36,13,8,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,1,0,0,277,0,0,83,5,4,0,0,2,0,0,361,431,0,0,0,0,0,0,0,0,0,2,211,0,206,114,6,82,1,5,0,0,82,430,81,0,0,346,51,50,244,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,51,0,0,16,0,0,0,0,0,0,0,69,89,0,0,0,0,0,0,0,0,0,0,57,0,42,36,0,5,1,0,0,1,26,91,26,0,0,65,3,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
