statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
12,0,0,1,0,0,15,0,0,4,2,2,0,0,0,0,0,25,28,0,0,0,0,0,0,0,1,0,2,9,1,5,4,2,0,0,0,0,0,14,30,12,0,0,13,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0,1,0,2,7,1,5,3,2,0,0,0,0,0,16,34,16,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,11,0,0,3,1,1,0,0,0,0,0,13,14,0,0,0,0,0,0,0,1,0,1,6,1,4,1,3,0,0,0,0,0,7,19,7,0,0,8,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,35,36,0,0,0,0,0,0,0,1,0,2,7,1,9,3,2,4,0,0,0,0,16,36,16,0,0,15,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,1,0,3,10,1,7,4,3,0,0,0,0,0,14,36,14,0,5,14,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,17,0,0,4,2,2,0,0,0,0,0,25,36,0,0,0,0,0,0,0,1,0,2,9,1,5,3,2,0,0,0,0,0,20,44,20,0,0,13,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,1,0,1,4,1,5,4,1,0,0,0,0,0,7,19,7,0,0,7,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,23,24,0,0,0,0,0,0,0,1,0,2,7,1,5,1,2,2,0,0,0,0,10,30,10,0,0,13,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,1,0,2,9,1,3,1,2,0,0,0,0,0,12,30,12,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,19,25,0,0,0,0,0,0,0,1,0,2,12,1,9,7,2,0,0,0,0,0,7,28,7,0,0,16,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,12,0,0,4,1,1,0,0,0,0,0,21,21,0,0,0,0,0,0,0,1,0,2,7,1,5,3,3,0,0,0,0,0,8,27,8,0,0,12,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,45,54,0,0,0,0,0,0,0,1,0,2,7,1,9,3,4,2,2,0,0,0,26,46,26,0,0,13,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,19,18,0,0,0,0,0,0,0,1,0,2,9,1,5,1,2,2,0,0,0,0,6,24,6,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,1,0,2,5,1,3,1,2,0,0,0,0,0,6,20,6,0,0,9,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,1,0,3,13,1,9,5,2,2,0,0,0,0,14,33,14,0,5,19,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,1,0,2,9,1,7,3,2,2,0,0,0,0,6,26,6,0,0,15,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,35,50,0,0,0,0,0,0,0,1,0,2,7,1,12,9,3,0,0,0,0,0,29,45,25,0,0,13,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,17,0,0,4,2,2,0,0,0,0,0,17,24,0,0,0,0,0,0,0,1,0,2,9,1,4,2,3,0,0,0,0,0,17,37,17,0,0,13,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,1,0,2,9,1,5,1,2,2,0,0,0,0,10,27,9,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
